No.,Source,Src Port,Destination,Dst Port,Protocol,Length,Info
126,192.168.3.205,4444,192.168.3.207,1076,TCP,7354,[TCP Window Full] krb524 > dab-sti-c [ACK] Seq=65705 Ack=1 Win=14600 Len=7300
127,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=54025 Win=18980 Len=0
128,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=56945 Win=16060 Len=0
129,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=59865 Win=13140 Len=0
130,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=62785 Win=10220 Len=0
131,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=65705 Win=7300 Len=0
132,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=68625 Win=4380 Len=0
133,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=71545 Win=1460 Len=0
134,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=73005 Win=64240 Len=0
135,192.168.3.205,4444,192.168.3.207,1076,TCP,32174,krb524 > dab-sti-c [ACK] Seq=73005 Ack=1 Win=14600 Len=32120
136,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=75925 Win=61320 Len=0
137,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=78845 Win=58400 Len=0
138,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=81765 Win=55480 Len=0
139,192.168.3.205,4444,192.168.3.207,1076,TCP,14654,krb524 > dab-sti-c [ACK] Seq=105125 Ack=1 Win=14600 Len=14600
140,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=84685 Win=52560 Len=0
141,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=87605 Win=49640 Len=0
142,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=90525 Win=46720 Len=0
143,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=93445 Win=43800 Len=0
144,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=96365 Win=40880 Len=0
145,192.168.3.205,4444,192.168.3.207,1076,TCP,14654,krb524 > dab-sti-c [ACK] Seq=119725 Ack=1 Win=14600 Len=14600
146,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=99285 Win=37960 Len=0
147,192.168.3.205,4444,192.168.3.207,1076,TCP,2974,[TCP Window Full] krb524 > dab-sti-c [ACK] Seq=134325 Ack=1 Win=14600 Len=2920
148,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=102205 Win=35040 Len=0
149,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=105125 Win=32120 Len=0
150,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=1 Ack=105125 Win=64240 Len=0
151,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=108045 Win=61320 Len=0
152,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=110965 Win=58400 Len=0
153,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=137245 Ack=1 Win=14600 Len=13140
154,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=113885 Win=55480 Len=0
155,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=116805 Win=52560 Len=0
156,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=119725 Win=49640 Len=0
157,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=122645 Win=46720 Len=0
158,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=125565 Win=43800 Len=0
159,192.168.3.205,4444,192.168.3.207,1076,TCP,5894,krb524 > dab-sti-c [ACK] Seq=150385 Ack=1 Win=14600 Len=5840
160,192.168.3.205,4444,192.168.3.207,1076,TCP,538,"krb524 > dab-sti-c [PSH, ACK] Seq=156225 Ack=1 Win=14600 Len=484"
161,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=128485 Win=40880 Len=0
162,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=131405 Win=37960 Len=0
163,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=134325 Win=35040 Len=0
164,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=137245 Win=32120 Len=0
165,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=140165 Win=29200 Len=0
166,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=143085 Win=26280 Len=0
167,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ACKed lost segment] dab-sti-c > krb524 [ACK] Seq=1 Ack=171309 Win=64240 Len=0
168,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ACKed lost segment] dab-sti-c > krb524 [ACK] Seq=1 Ack=174229 Win=64240 Len=0
169,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ACKed lost segment] dab-sti-c > krb524 [ACK] Seq=1 Ack=177149 Win=64240 Len=0
170,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ACKed lost segment] dab-sti-c > krb524 [ACK] Seq=1 Ack=257933 Win=64240 Len=0
171,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ACKed lost segment] dab-sti-c > krb524 [ACK] Seq=1 Ack=260853 Win=64240 Len=0
172,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,[TCP Previous segment lost] krb524 > dab-sti-c [ACK] Seq=275453 Ack=1 Win=14600 Len=8760
173,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=263773 Win=64240 Len=0
174,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=266693 Win=64240 Len=0
175,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=284213 Ack=1 Win=14600 Len=8760
176,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=269613 Win=64240 Len=0
177,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=272533 Win=64240 Len=0
178,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=275453 Win=64240 Len=0
179,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=292973 Ack=1 Win=14600 Len=13140
180,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=278373 Win=64240 Len=0
181,192.168.3.205,4444,192.168.3.207,1076,TCP,1514,krb524 > dab-sti-c [ACK] Seq=306113 Ack=1 Win=14600 Len=1460
182,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=281293 Win=64240 Len=0
183,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=284213 Win=64240 Len=0
184,192.168.3.205,4444,192.168.3.207,1076,TCP,32174,[TCP Previous segment lost] krb524 > dab-sti-c [ACK] Seq=484389 Ack=1 Win=14600 Len=32120
185,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=516509 Ack=1 Win=14600 Len=13140
186,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=485849 Win=64240 Len=0
187,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=488769 Win=64240 Len=0
188,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=491689 Win=64240 Len=0
189,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=494609 Win=64240 Len=0
190,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=497529 Win=64240 Len=0
191,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=500449 Win=64240 Len=0
192,192.168.3.205,4444,192.168.3.207,1076,TCP,17574,krb524 > dab-sti-c [ACK] Seq=529649 Ack=1 Win=14600 Len=17520
193,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=503369 Win=64240 Len=0
194,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=506289 Win=64240 Len=0
195,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=509209 Win=64240 Len=0
196,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=512129 Win=64240 Len=0
197,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=515049 Win=64240 Len=0
198,192.168.3.205,4444,192.168.3.207,1076,TCP,14654,krb524 > dab-sti-c [ACK] Seq=547169 Ack=1 Win=14600 Len=14600
199,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=517969 Win=64240 Len=0
200,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=520889 Win=64240 Len=0
201,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=523809 Win=64240 Len=0
202,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=526729 Win=64240 Len=0
